시도명,시군구명,대피소명,주소,수용가능인원수,면적(㎡),경도,위도,비고,내진적용여부,해변에서의거리(m),긴급대피장소,대피소분류명,해발높이
city_name,gun_name,shelter_name,address,accept_limit,size,longitude,latitude,note,earthquake_proof,beach_distance,emergency_shelter,classify_shelter_name,sea_height
강원도,삼척시,장호중학교 운동장,강원도 삼척시 근덕면 장호리 201,200,,129.3117710,37.2835890,,,,,,
강원도,삼척시,장호용화랜드앞 주차장,강원도 삼척시 근덕면 장호리 321-8,200,,129.3087980,37.2869370,,,,,,
강원도,삼척시,마을공원,강원도 삼척시 근덕면 장호리54-7,150,,129.3188100,37.2853390,,,,,,
강원도,삼척시,황영조기념관앞 공원내,강원도 삼척시 근덕면 초곡리 64,200,,129.2942500,37.3074670,,,,,,
강원도,강릉시,곰두리연수원,강원도 강릉시 강동면 심곡리 90-1,150,,129.0514290,37.6642170,,,,,,
강원도,강릉시,봉화산,강원도 강릉시 강동면 안인진리 20-1,50,,128.9876700,37.7373680,,,,,,
강원도,강릉시,안인천주교회,강원도 강릉시 강동면 안인진리 213-1,100,,128.9860990,37.7305270,,,,,,
강원도,강릉시,강인교회,강원도 강릉시 강동면 안인진리 270-18,150,,128.9825780,37.7278080,,,,,,
강원도,강릉시,정동초등학교,강원도 강릉시 강동면 정동진리 184,160,,129.0336590,37.6872610,,,,,,
강원도,강릉시,고성산,강원도 강릉시 강동면 정동진리 267-4,120,,129.0335670,37.6896880,,,,,,
강원도,강릉시,정동허브랜드,강원도 강릉시 강동면 정동진리 51-4,260,,129.0414270,37.6811490,,,,,,
강원도,강릉시,하시동2리 마을회관,강원도 강릉시 강동면 하시동리 56-1,100,,128.9727380,37.7372230,,,,,,
강원도,강릉시,현대아파트앞 야산,강원도 강릉시 경포동 저동 7-3,1000,,128.9150770,37.7972010,,,,,,
강원도,강릉시,경포산장콘도,강원도 강릉시 경포동 하남길 345-18,800,,128.9000070,37.8098440,,,,,,
강원도,강릉시,시마크호텔,강원도 강릉시 경포동 해안로406번길 2,700,,128.9150770,37.7972010,,,,,,
강원도,강릉시,장구바위,강원도 강릉시 사천면 사천진리 1-13,100,,128.8767710,37.8397930,,,,,,
강원도,강릉시,성결교회,강원도 강릉시 사천면 사천진리 산72-1,500,,128.8688520,37.8416090,,,,,,
강원도,강릉시,강릉원주대학교 해양생물연구교육센?,강원도 강릉시 사천면 해안로 1166,5900,,128.8615460,37.8510000,,,,,,
강원도,강릉시,세인트컨벤션웨딩홀,강원도 강릉시 성덕동 공항길 127번길 5-3,1000,,128.9498610,37.7647260,,,,,,
강원도,강릉시,죽도봉,강원도 강릉시 송정동 견소동 11-6,800,,128.9269250,37.7772240,,,,,,
강원도,강릉시,송정해변신도브래뉴아파트,강원도 강릉시 송정동 견소동 289,3500,,128.9269250,37.7772240,,,,,,
